Arist(s) Name,Track Name,Album Name,Length,SpotifyID,Release Date
PUP , Pine Point , The Dream Is Over , 00:04:00 , 7JErrZ98KZUQDpMCjA4YTI , 2016-05-27
Typical Cats , Qweloquiallisms , Typical Cats , 00:02:27 , 0lIWS0BVCSL4BAppscAjJl , 2001-02-19
The Dear Hunter , The Death and the Berth , Act II: The Meaning of, And All Things Regarding Ms. Leading , 00:00:39 , 7qaeIG8Etrl6fM1vZbXQPC , 2007-05-22
Hyper Potions; SAMME , Puppy Raceway , Puppy Raceway , 00:03:20 , 5Vec1EjOApOhhiNg3sBlfk , 2017-10-04
Run The Jewels , Legend Has It , Run the Jewels 3 , 00:03:25 , 4RnfMhMUMqHlrn4V6A3KfS , 2016-12-25
Mom Jeans.; Sarah Levy , Movember (feat. Sarah Levy) , Best Buds , 00:03:37 , 59bCI20jZOle0v9FANxKRa , 2016-07-03
Pet Symmetry , A Detailed and Poetic Physical Threat to the Person Who Intentionally Vandalized My 1994 Dodge Intrepid Behind Kate's Apartment , Two Songs About Cars. Two Songs with Long Titles. , 00:02:48 , 7wHQdtNmqxZ5XdAg2pcgaV , 2013-05-21
Mystery Skulls , Forever , Forever , 00:03:19 , 0xPlyOdS53YaSUnBDQrawj , 2014-10-27
The Mellowells , Floyd Maroon , Head Space , 00:03:28 , 5Lgmw5AegzabkRhsQFbYnL , 2016-09-30
Modern Baseball , Holy Ghost , Holy Ghost , 00:01:01 , 2QHtMTd9MIqQO5WuXLe0tX , 2016-05-13
Larry and His Flask , Pandemonium , By the Lamplight , 00:03:20 , 6vvRtkEuiexLFZF34uDhA9 , 2013-06-25
AJJ , Survival Song , People Who Can Eat People are the Luckiest People in the World , 00:02:28 , 47hr9KDPHYmOCCd0aj3Q04 , 2007-09-11
Orchards , Peggy , Losers/Lovers EP , 00:03:58 , 5P1uSlydGWaImssbEvi8XX , 2018-07-06
Twenty One Pilots , Oh Ms Believer , Twenty One Pilots , 00:03:37 , 3FvV3j98xtcylQF1drDc9j , 2009-12-29
The Dear Hunter , Waves , Act Iv: Rebirth in Reprise , 00:04:12 , 3ig2dV1bPM5ejNjd0iOp9U , 2015-09-04
Hyper Potions; Subtact , Adventures , Adventures , 00:02:53 , 5yxaWDtIwdDuk3Qsd4EgOS , 2015-06-12
Sean Dagher; Michiel Schrey; Nils Brown , Drunken Sailor , Assassin's Creed 4: Black Flag (Sea Shanty Edition, Vol. 2) [Original Game Soundtrack] , 00:01:29 , 0mGVZddgCy1jYBnWvKCV8H , 2014-06-16
Bobby's Oar , Shoestrings , The Weeds In Your Garden , 00:02:26 , 59XAYGyzsZb8CFtpmmI8o3 , 2015-05-08
Mystery Skulls , The Future , Forever , 00:03:43 , 1zNPQv792Cf51iswrZoeyt , 2014-10-27
The Mellowells , The Shake , Shindy , 00:05:04 , 68lMSMfJXd1arzmR9WKJMO , 2014-12-09
Leavv , lacuna , Chillhop Essentials Winter 2017 , 00:02:33 , 2xQSvVvyOlLrAfcssIdSp4 , 2017-12-11
Aso , Snug , Chillhop Essentials Winter 2017 , 00:02:45 , 70lgkc1F7j0gnxtkbHq8MC , 2017-12-11
Bayside , Moceanu , Shudder (Bonus Track Version) , 00:02:11 , 50rIRTdyK6FQyEmrKUvVTE , 2008-09-30
Snail's House , Dream Castle , Dream Castle , 00:03:16 , 3r9V80FEdeuYJZPaUGOrQJ , 2016-06-12
Mom Jeans. , sponsor me tape , Puppy Love , 00:03:56 , 78gg9P8x1YdSVU1b6gvjma , 2018-07-03
Twenty One Pilots , Ode to Sleep , Vessel , 00:05:08 , 773xZHHSHJvC1z3AAtWgH6 , 2013-01-08
invention_ , Albedo , Chillhop Essentials Winter 2017 , 00:01:55 , 24c5FqwYdMFxuZ1PQftj7h , 2017-12-11
The Dear Hunter , Wait , Act Iv: Rebirth in Reprise , 00:03:20 , 2DIIvFlbCL1tM2WaaBiEm1 , 2015-09-04
Anamanaguchi; Miku Hatsune , Miku , Miku , 00:03:43 , 2MQwgtSGxPKUiI2Qr5am7V , 2016-05-24
Tiny Moving Parts , Movies , Pleasant Living , 00:02:43 , 1mXvGULFRe2ADst263nTtj , 2014-09-09
The Mellowells , Melting Vibes , Melting Vibes , 00:03:48 , 5ig9P3W7ve7979HjfS2UNA , 2016-08-12
Larry and His Flask , Barleywine Bump , By the Lamplight , 00:04:19 , 7tttBFXa5nepiCm5t1LF8A , 2013-06-25
Ben Folds , Capable Of Anything , So There , 00:03:50 , 5smS6cpI6hQ1JtfQgmkdov , 2015-09-11
Pete Davis , Idler Gear , False Friends EP , 00:03:32 , 4OaUq13rJDbMNF4hUUS68a , 2016-07-07
Orchards , Age Of You , Losers/Lovers EP , 00:03:18 , 3NZn9qzhfPiOxnFZjmTOGN , 2018-07-06
Ken Ashcorp , Wear , Wear , 00:05:23 , 6JDbZwrCvhsgWqN16ihBJd , 2015-06-13
Twenty One Pilots , Trapdoor , Twenty One Pilots , 00:04:37 , 4IN3imzEuTsiHO6tOwDQu5 , 2009-12-29
Childish Gambino , Me and Your Mama , "Awaken, My Love!" , 00:06:19 , 4r0GVpjSsKSR1biv4fOoa5 , 2016-12-02
Bayside , I And I - Live , The Walking Wounded (Gold Edition) , 00:04:09 , 0qBzTiujhsxS06ylgVqlvH , 2008-07-22
Anamanaguchi , Rush , Capsule Silence XXIV Original Soundtrack Vol. II , 00:02:51 , 1Wh7LK1FWAMo9su6zp8CoP , 2017-10-13
Mom Jeans. , near death fail comp (must watch til end) , Puppy Love , 00:03:25 , 3a1EOUocGwYtivHqZsDLNY , 2018-07-03
The Mellowells , The Historical Truth , Shindy , 00:05:32 , 4GgDjLpyNM7Jw5ovDfVFCH , 2014-12-09
The Pof , Reflection , Remember Why You're Here , 00:04:16 , 53mJDPrFeLr35GNXYwNrih , 2016-10-22
Mystery Skulls , Music , One of Us , 00:03:22 , 2ECNZe6DJQX2RMEIJj3F3k , 2017-08-04
Run The Jewels , Call Ticketron , Run the Jewels 3 , 00:03:18 , 4E9RsETCexFzZfSovxFksR , 2016-12-25
Ben Folds , I'm Not The Man , So There , 00:04:41 , 1O6pB1DAnrw1dyWaS0e34y , 2015-09-11
Snail's House , Dream Town , Dream Castle , 00:02:48 , 4C3u0Yg4Yf95E7XJ34gaAD , 2016-06-12
Reuben , Best Enemies , Very Fast Very Dangerous , 00:03:35 , 2Svlrzd2wCaiC2que21Mpj , 2005-09-11
Tiny Waves , Undertale Medley (From "Undertale") , Straight from the Underground , 00:05:18 , 1sHFGxmDPO6XgJkBxnZtqh , 2016-07-28
Childish Gambino , Have Some Love , "Awaken, My Love!" , 00:03:44 , 5LTgI9VsuL3NKrv2WHBgNx , 2016-12-02
Bayside , Bear With Me , Cult White Edition , 00:03:10 , 5GCB93DaQlIzFDfVezMoX0 , 2015-03-03
Modern Baseball , It's Cold Out Here , Couples Therapy , 00:02:56 , 3ahyFcydZjTa2oaeegCyxS , 2015-10-30
The Mellowells , Author of Modern Thought , Shindy , 00:05:29 , 2eejVgDjal1oQLcQXn8FA9 , 2014-12-09
Ken Ashcorp , Black Lily , Black Lily , 00:03:55 , 7IMwRhAR82Tf1BB2fi8mQU , 2018-06-13
Mystery Skulls , Losing My Mind , One of Us , 00:02:59 , 1DXXWu8Del2WXqBsuB4TcL , 2017-08-04
Run The Jewels , Talk to Me , Run the Jewels 3 , 00:02:31 , 0CBLqGc1esSZ5dM2gOZHsU , 2016-12-25
Hyper Potions , Porta Vista , Porta Vista , 00:03:15 , 4bOBkYCCIIIp32uQYtRtAR , 2015-04-29
toe , I Dance Alone , songs, ideas, we forgot , 00:04:11 , 1hfn4LSmvLCyDOxsIaY8b4 , 2012-06-20
Anamanaguchi , My Heart My Body , Capsule Silence XXIV Original Soundtrack , 00:04:36 , 1VScYydrksNpPcZtTuQHfN , 2016-12-21
Mom Jeans. , now THIS is podracing , Puppy Love , 00:02:31 , 4jIGEQ01FNfSAnOSk7Jr2f , 2018-07-03
dj-Jo , Asgore (From "Undertale") , Straight from the Underground , 00:04:49 , 4qb7kO0j8iSMVcYmMycIG6 , 2016-07-28
Kenny Maness , My Shiny Teeth and Me , My Shiny Teeth and Me , 00:02:31 , 0OciVp95LBXlE9RGDT99XI , 2017-10-16
Modern Baseball , Re-Do , Sports , 00:02:11 , 5c8nmgU5vm9CyupuKmRaTq , 2012-11-27
Fall Out Boy , Sugar, We're Goin Down , From Under The Cork Tree , 00:03:49 , 2TfSHkHiFO4gRztVIkggkE , 2005-05-03
The Pof , Grey Minds , Remember Why You're Here , 00:05:46 , 1ckG4surVPhWr34XwAQLGz , 2016-10-22
Sim Gretina , MEGALOVANIA (From "Undertale") , Straight from the Underground , 00:05:29 , 3cqJIZKUpLQYULacO0c1Ll , 2016-07-28
Twenty One Pilots , Taxi Cab , Twenty One Pilots , 00:04:45 , 4j8gmCSLLy0TSFg2brV01g , 2009-12-29
Tiny Moving Parts , Volumes , Celebrate , 00:04:02 , 4tUjrpiGTmxeQYeH2X88X7 , 2016-05-20
Reuben , A Kick in the Mouth , Very Fast Very Dangerous , 00:03:26 , 3n3kCwoXzHpZlpYGInKzOR , 2005-09-11
The Dear Hunter , Shame , Live , 00:05:31 , 25d01NI8xPjJpH7tQTVSl5 , 2015-03-03
Pete Davis , Suitable Strata , False Friends EP , 00:03:51 , 6YmQshzd9GnHZjZxSy8nNI , 2016-07-07
toe , C , the book about my idle plot on a vague anxiety , 00:04:07 , 78MMGTJSRhyf7Aj56bOqfg , 2012-06-20
Anamanaguchi , Leave the Past Behind , Scott Pilgrim vs. the World: The Game (Original Videogame Soundtrack) , 00:02:41 , 0H3JMNaQBWzzxO0lIeXPDO , 2010-01-01
Modern Baseball , @chl03k , Sports , 00:01:40 , 35HU3KeBOeq7DJEYROJII8 , 2012-11-27
Sean Dagher; Nils Brown; Michiel Schrey , Randy Dandy Oh , Assassin's Creed 4: Black Flag (Sea Shanty Edition) [Original Game Soundtrack] , 00:01:35 , 6Fv0O8eHNcWO1DmF0EMrRc , 2013-10-29
PUP , Dark Days , PUP , 00:03:26 , 19260b1RRODP71Oo8oRbSF , 2014-04-08
Larry and His Flask , All That We've Seen , By the Lamplight , 00:04:22 , 3bAoTAXTuZf0rKrwnV2gMH , 2013-06-25
Run The Jewels , Ddfh , Run the Jewels , 00:03:05 , 7vAPdj763w31JAjcDW7Q2r , 2014-09-16
Tiny Moving Parts , Happy Birthday , Celebrate , 00:02:51 , 5wnwWaSa4iOpvXe4vpJKac , 2016-05-20
Fall Out Boy , Our Lawyer Made Us Change The Name Of This Song So We Wouldn't Get Sued , From Under The Cork Tree , 00:03:08 , 73A0DxzMGDhVGsvHQSaaBq , 2005-05-03
Ken Ashcorp , Absolute Territory , Absolute Territory , 00:04:28 , 32zqrDpYvNr8BuOClDpavD , 2013-03-08
The Dear Hunter , Bring You Down , Live , 00:06:31 , 5TP4EQcO1SUOo1CQien2hT , 2015-03-03
toe , leave word , songs, ideas, we forgot , 00:02:59 , 2hPBCO9qmgqe5hCoHN7Oyo , 2012-06-20
Anamanaguchi , Mermaid , Dawn Metropolis , 00:07:51 , 39e6AQQNlTI2nEp1U2qOhO , 2009-03-03
Modern Baseball , Tears Over Beers , Sports , 00:02:48 , 4G6E84lvx8jJh4lWv7Fecm , 2012-11-27
'Legally Blonde' Ensemble; Michael Rupert; Nikki Snelson , Whipped into Shape , Legally Blonde The Musical (Original Broadway Cast Recording) , 00:04:20 , 0u9Qa4tnR77Tbb0uX1hs41 , 2007-07-16
